DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2021 JAN  1   00 38 24.3 38.3894 21.9832    8         1.2
 2021 JAN  1   00 57 47.9 38.3748 22.0290    8         0.8
 2021 JAN  1   01 09 25.7 38.3693 22.0290    7         1.6
 2021 JAN  1   01 28 31.0 40.4311 21.1546   17         2.1
 2021 JAN  1   01 53 23.6 34.9503 24.3283   45         1.9
 2021 JAN  1   02 05 36.1 38.3835 21.9992   10         1.2
 2021 JAN  1   02 06 34.9 38.3775 21.9868    8         1.1
 2021 JAN  1   02 07 45.8 38.3665 22.0226   14         1.1
 2021 JAN  1   02 07 47.0 38.6710 24.0024   16         0.9
 2021 JAN  1   02 24 37.8 34.2572 25.2191   15         2.7
 2021 JAN  1   02 41 25.6 38.3922 21.9905   10         1.1
 2021 JAN  1   02 44 36.2 40.2081 19.5392   11         2.3
 2021 JAN  1   02 56 55.2 38.3876 22.0326    9         1.0
